# idn-email acceptance vectors, from RFC 6531.
#
# RFC 6531 §3.2 and §3.3 widen the RFC 5321 Mailbox grammar rather than
# restating it: UTF-8 in the local part, U-labels in the domain. The official
# suite's optional/format/idn-email.json reaches both widenings with one
# address; these rows separate them, so a check landing on only the local part
# or only the domain shows up as one failing row rather than none.
#
# Row format: see loadVectorFile in vectors_test.go.
#
"user@example.com"	true	an ASCII mailbox is an idn-email
"宏@example.com"	true	RFC 6532 §3.1 UTF-8 in the local part
"user@例.jp"	true	a U-label domain
"not-an-email"	false	RFC 6531 widens Mailbox without dropping the "@"
"a@L·L.example"	true	RFC 5892 A.3 judged after the RFC 5891 §5.3 case mapping
"a@1host.ابجد"	false	RFC 5893 condition 1: an LTR label in a Bidi domain name may not open on a digit
"a@host1.ابجد"	true	RFC 5893 conditions 5 and 6: an LTR label in a Bidi domain name may close on EN
#
# RFC 6531 widens the RFC 5321 grammar rather than restating it, so the empty
# quoted local part reads the same here (e9372c3, then 16d9020).
#
"\"\"@example.com"	true	the empty quoted local part (e9372c3, then 16d9020)
