# iri-reference acceptance vectors, from the RFC 3987 example text.
#
# RFC 3987 §2.2 derives the IRI grammar from RFC 3986's by widening iunreserved
# and the ipchar family with ucschar. format_iri_ucschar_test.go and
# TestIRIRejectsC1Controls cover the code-point boundaries of those sets. The
# official suite's optional/format/iri-reference.json reaches the network-path,
# absolute-path, relative-path, and fragment-only forms with invented non-ASCII
# strings; these rows build every reference form from the RFC's own example IRI
# instead.
#
# Row format: see loadVectorFile in vectors_test.go.
#
"http://résumé.example.org"	true	an absolute IRI is an IRI-reference
"//résumé.example.org"	true	a network-path reference
"/rosé"	true	an absolute-path reference
"../rosé"	true	a relative-path reference
"#rosé"	true	a fragment-only reference
"?q=résumé"	true	a query-only reference
""	true	the empty reference resolves to the base
"http://exa mple.org/rosé"	false	a space is forbidden
"?%zz"	false	a malformed percent-encoded triplet in the query
"//\u018c@"	true	a ucschar in the iuserinfo of a network-path reference with an empty host
"//[::1%41]"	false	RFC 3986 §3.2.2 IP-literal admits no pct-encoded octet; the reg-name rewrite stops at the brackets
