# iri acceptance vectors, from the RFC 3987 example text.
#
# RFC 3987 §2.2 derives the IRI grammar from RFC 3986's by widening iunreserved
# and the ipchar family with ucschar. The code-point boundaries of those sets
# are covered by format_iri_ucschar_test.go and TestIRIRejectsC1Controls; these
# rows are the RFC's own example IRIs, which the official suite's
# optional/format/iri.json does not carry.
#
# Format: three tab-separated fields, "<input>"\t<valid>\t<note>. The input is a
# Go quoted string literal in the spelling strconv.Quote produces. '#' lines and
# blank lines are skipped.
#
"http://résumé.example.org"	true	RFC 3987 §3.1, a ucschar host
"http://xn--rsum-bpad.example.org"	true	RFC 3987 §3.1, the same host as an A-label
"http://r%C3%A9sum%C3%A9.example.org"	true	RFC 3987 §3.1, the same host percent-encoded
"http://www.example.org/red%09rosé#red"	true	RFC 3987 §3.2, a percent-encoded tab beside a literal ucschar
"http://example.com/𐌀𐌁𐌂"	true	RFC 3987 §3.2, non-BMP ucschar
"http://www.example.org/Dürst"	true	RFC 3987 §3.2 conversion example
"http://納豆.example.org/%E2%80%AE"	true	RFC 3987 §3.2, a Han host with a percent-encoded path
"http://example.org/rosé"	true	RFC 3987 §1.3 example
"//résumé.example.org"	false	an iri is absolute, so a network-path reference carries no scheme
"/rosé"	false	an absolute-path reference carries no scheme
"http://exa mple.org/rosé"	false	a space is forbidden in an IRI as in a URI
