# idn-hostname acceptance vectors.
#
# Source: curated from RFC 5890/5891 (IDNA2008) example text and the UTS-46
# lookup profile as implemented by golang.org/x/net/idna (idna.Lookup), which
# the idn-hostname validator delegates to. Pinned to golang.org/x/net v0.56.0
# (jsonschema/go.mod), the same module the validator compiles against.
#
# This is a curated subset, not the full Unicode IdnaTestV2.txt corpus.
# IdnaTestV2.txt records per-row toUnicode/toASCII outputs and status codes for
# both the transitional and non-transitional profiles; reducing those columns to
# one accept/reject for this validator needs its own mapping logic. The
# validator also layers RFC 5890/5891 structure on top of the idna.Lookup pass:
# label and total-length limits, the RFC 1123 numeric-TLD ban, and the
# trailing-dot and empty-label rules, none of which the corpus's raw conversion
# status captures. These vectors lock the accept/reject boundary the validator
# actually implements; consuming the full corpus would be a separate rig.
#
# That corpus stays out deliberately, not for lack of a reason to want it. At
# 665 KB and roughly 6000 rows it would be the largest fixture in the module,
# golang.org/x/net/idna ships no conformance test against it, so every
# divergence would be ours to discover and own, and the reduction above needs
# mapping logic the validator's RFC 5891 layer does not mirror. What it would
# buy is the one thing FuzzFormatIDNHostnameVsIDNA cannot: that differential
# asserts the RFC 5890/5891 layer is the only thing narrowing idna.Lookup, not
# that either of them gives the right answer.
#
# Format: <input>\t<valid>   (valid is "true" or "false"); '#' lines are comments.
#
example.com	true
a.b.c	true
xn--fsq.jp	true
münchen.de	true
例え.jp	true
αβγ.gr	true
example.com.	true
föö.example	true
-bad.example	false
bad-.example	false
xn--	false
123	false
a..b	false
#
# RFC 5892 Appendix A contextual rules. A.1 ZWNJ and A.2 ZWJ (CONTEXTJ) are
# permitted only after a Virama; the rest are CONTEXTO rules on the surrounding
# characters.
#
# A.1 ZWNJ: rejected between two Latin letters, accepted after a Devanagari Virama.
a‌b.example	false
क्‌ष.example	true
# A.2 ZWJ: same two positions.
a‍b.example	false
क्‍ष.example	true
# A.3 MIDDLE DOT: only between two 'l'.
l·l.example	true
a·b.example	false
# A.4 GREEK KERAIA: only when followed by a Greek character.
α͵β.example	true
α͵b.example	false
# A.5 HEBREW GERESH: only after a Hebrew character.
א׳.example	true
a׳.example	false
# A.6 HEBREW GERSHAYIM: only after a Hebrew character.
א״.example	true
a״.example	false
# A.7 KATAKANA MIDDLE DOT: only in a label carrying Hiragana, Katakana, or Han.
ア・ア.example	true
ab・cd.example	false
# A.9 EXTENDED ARABIC-INDIC DIGITS stand alone. Their Bidi class is EN, so the
# label is not RTL and the Bidi Rule does not engage.
۱۲.example	true
# A.8 ARABIC-INDIC DIGITS carry Bidi class AN, which makes the label RTL, and
# RFC 5893 §2 rule 1 requires an RTL label to begin with L, R, or AL.
١٢٣.example	false
#
# RFC 5893 §2 Bidi Rule. A domain name with any RTL label is a Bidi domain name
# and every label in it must satisfy the rule.
#
# Rule 1 and 3 satisfied: an RTL label opening and closing on Hebrew.
אב.example	true
# Rule 2 violated: an RTL label may not contain a character of Bidi class L.
אa.example	false
# Rule 3 and 4: an RTL label may close on EN or on AN, but not carry both.
א1.example	true
א١.example	true
#
# RFC 5892 exception characters, DISALLOWED regardless of context.
#
ـ.example	false
〱.example	false
#
# RFC 5890 §2.3.2.2 reserved-LDH: a label with a hyphen in positions 3 and 4 is
# reserved and invalid for IDNA. This is a documented deviation from the plain
# hostname format, which accepts the same label under RFC 1123 §2.1; the
# containment invariant hostname implies idn-hostname is false because of it and
# is deliberately not asserted.
#
ab--cd.com	false
